ComunaSubida,ComunaBajada,suma_ViajeLaboralPromedio,suma_Viajes1Etapa,suma_Viajes2Etapas,suma_Viajes3Etapas,suma_Viajes4Etapas,suma_Viajes5oMasEtapas,suma_ViajesUsanMetro,suma_ViajesUsanMetroTren,suma_ViajesSoloMetro,suma_ViajesSoloBus
LO ESPEJO,INDEPENDENCIA,98.0103773738,9.2125660489,28.931433022,58.6521733401,1.2142063678000001,0.0,56.6094268276,0.0,0.0,41.400951356899995
LO ESPEJO,LA CISTERNA,2164.6198458781,1778.2051180182,374.5724726954,11.5477757749,0.2944972515,0.0,188.9252509758,0.0,0.0,1975.6946096071
LO ESPEJO,LA FLORIDA,567.3634303142001,88.9281834063,399.8391702971,77.0852880783,1.5107850730999999,0.0,324.364549871,3.2598921064,0.0,242.9988878352
LO ESPEJO,LA GRANJA,100.320097923,21.4703616489,64.6995910696,13.766645641,0.3835010231,0.0,22.0010568508,0.0,0.0,78.3190432198
LO ESPEJO,LA PINTANA,164.2663692826,23.0004229544,93.5191602459,47.1713447551,0.5754440725,0.0,36.367110430400004,1.5724414885,0.0,127.8992611761
LO ESPEJO,LA REINA,240.7886583584,8.5052559079,148.53131199,82.2959496074,1.4561393857,0.0,194.8767753189,0.8753892481000001,0.0,45.911877250799996
LO ESPEJO,LAS CONDES,1100.1964118355,0.0,774.6271167725,318.525394395,7.043884515799999,0.0,1025.4762821474,62.5188102984,0.0,74.7201172115
LO ESPEJO,LO BARNECHEA,76.823108553,0.0,5.5218885248000005,68.062507545,2.9555836619,0.2831267118,67.2838122533,0.0,0.0,9.539295702599999
LO ESPEJO,LO ESPEJO,3102.5658230535,2958.7964409191,137.0604226574,6.4232410789,0.2857162654,0.0,0.5933795273,0.0,0.0,3101.9724545535
LO ESPEJO,LO PRADO,121.0374221297,0.2911399007,95.91931745389999,24.4814283244,0.3455373943,0.0,94.3379029266,12.0293384802,0.0,26.6995198133
LO ESPEJO,MACUL,290.5079390292,17.593078435,226.2858390152,45.7627972071,0.8662243485,0.0,169.3913174558,3.010156721,0.0,121.116621087
LO ESPEJO,MAIPU,1038.0606044327,536.5352353266,425.9561765206,74.3631111351,1.206076771,0.0,23.2366801501,0.3318754733,0.0,1014.8239195857
